name,email,gender,skilllevel,role,canteach,wantstolearn,timestamp,match status,agerange
Kenneth Sanders,moniquebaker@example.org,Male,Advanced,Teacher,Communication,,2025-07-17 11:59:59,Paired,
Andrew Larsen,hamiltonwilliam@example.com,Male,Intermediate,Teacher,Data Analysis,,2025-07-17 11:59:59,Unpaired,
Caroline Zimmerman,omoran@example.org,Prefer not to tell,Beginner,Learner,,Power BI,2025-07-17 11:59:59,Paired,
Brandi Walter,hardinwilliam@example.com,Female,Advanced,Teacher,Power BI,,2025-07-17 11:59:59,Unpaired,
Taylor Washington,brandonbenjamin@example.com,Female,Intermediate,Teacher,Data Analysis,,2025-07-17 11:59:59,Unpaired,
Leonard Bruce,watersdaniel@example.org,Female,Advanced,Learner,,Data Analysis,2025-07-17 11:59:59,Unpaired,
Todd Williams,chenveronica@example.org,Female,Beginner,Learner,,Power BI,2025-07-17 11:59:59,Paired,
Mark Wu,allisonlara@example.net,Male,Intermediate,Learner,,Power BI,2025-07-17 11:59:59,Paired,
Benjamin Page,brucemedina@example.net,Male,Intermediate,Teacher,SQL,,2025-07-17 11:59:59,Unpaired,
Shelly Jones,stacey78@example.com,Male,Beginner,Teacher,SQL,,2025-07-17 11:59:59,Unpaired,
Tyler Arnold,kimberly11@example.net,Male,Advanced,Teacher,Power BI,,2025-07-17 11:59:59,Unpaired,
James Fernandez PhD,bernardnicholas@example.net,Male,Advanced,Learner,,Python,2025-07-17 11:59:59,Unpaired,
Michelle Vance,lauren54@example.com,Female,Intermediate,Learner,,Data Analysis,2025-07-17 11:59:59,Paired,
Ms. Rebecca Hill,garciajustin@example.org,Prefer not to tell,Advanced,Teacher,Data Analysis,,2025-07-17 11:59:59,Unpaired,
Gabriel Vaughn,charleswright@example.org,Prefer not to tell,Intermediate,Teacher,SQL,,2025-07-17 11:59:59,Unpaired,
Teresa Collins,valerie39@example.com,Male,Intermediate,Learner,,Data Analysis,2025-07-17 11:59:59,Paired,
Mark Sanchez,joyce47@example.org,Male,Beginner,Learner,,Communication,2025-07-17 11:59:59,Paired,
Jimmy Thompson,dylanfloyd@example.net,Prefer not to tell,Intermediate,Teacher,SQL,,2025-07-17 11:59:59,Unpaired,
Matthew Ward,eallen@example.com,Prefer not to tell,Advanced,Teacher,Excel,,2025-07-17 11:59:59,Unpaired,
Emma Guerra,wigginsjennifer@example.com,Male,Advanced,Teacher,Power BI,,2025-07-17 11:59:59,Unpaired,
Crystal Thompson,erica19@example.com,Female,Intermediate,Teacher,Communication,,2025-07-17 11:59:59,Unpaired,
April Martin,ashley05@example.org,Female,Intermediate,Learner,,Communication,2025-07-17 11:59:59,Paired,
Goddy,Gody@gmail.com,Male,Intermediate,Learner,,SQL,2025-07-17 12:47:30,Paired,
Special,spec@hotmail.com,Female,Advanced,Teacher,Communication,,2025-07-18 00:52:07,Paired,
Agatha James,ajbaby@gmail.com,Female,Beginner,Learner,,Power BI,2025-07-18 18:54:35,Paired,
Fred Ali,ali2@gmail.com,Male,Beginner,Learner,,Python,2025-07-20 01:47:41,Unpaired,
Nkeiru Pius,nkry@gmail.com,Female,Beginner,Learner,,Python,2025-07-20 02:32:15,Paired,
Nneji Special,special@gmail.com,Female,Beginner,Learner,,"Data analysis, Excel",2025-07-21 19:24:58.454974,,25 - 34
